0,Code,Borough,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013
1,E09000002,Barking and Dagenham,31,33,28,22,30,22,26,30,23,30,35,39,28,42,33,30,39,25,15,32,29,23,38,31,26,27,28,28,27,24,19,35,24,30,23,31,32,22,31,26,22,23,26,28,24,19,27,30,28
2,E09000003,Barnet,35,32,45,29,36,35,37,30,32,45,40,34,30,37,34,24,44,33,26,26,28,24,28,22,32,37,37,22,29,16,34,20,24,35,33,29,26,28,46,37,21,18,23,25,27,20,22,28,27
3,E09000004,Bexley,34,31,22,29,30,15,33,24,26,20,22,27,29,24,20,15,21,22,17,31,19,20,26,18,18,21,19,19,13,7,18,16,18,18,14,16,22,24,20,13,25,16,14,20,14,15,10,16,15
4,E09000005,Brent,47,46,52,35,42,39,31,31,39,46,49,58,42,55,43,44,51,36,32,44,34,28,34,32,41,33,52,38,37,35,30,28,18,32,38,43,45,45,52,34,33,25,26,22,23,36,27,37,40
5,E09000006,Bromley,36,32,39,18,35,29,23,24,38,27,47,25,31,30,36,37,42,30,24,21,17,22,28,25,16,36,22,24,10,24,18,17,18,36,23,21,19,24,31,17,19,17,21,16,22,26,13,27,17
6,E09000007,Camden,34,45,42,35,38,42,29,37,26,35,23,48,34,37,39,39,43,24,35,27,29,42,32,28,34,31,38,42,21,26,34,24,19,37,29,23,37,25,25,18,32,23,23,23,19,28,26,29,25
7,E09000001,City of London,5,3,2,2,2,6,3,3,4,1,1,4,2,3,3,5,4,4,0,1,3,4,2,1,1,2,4,2,3,1,2,1,1,2,0,5,4,2,3,5,8,3,5,3,1,1,6,3,1
8,E09000008,Croydon,63,54,66,52,58,52,44,50,54,66,60,58,68,66,80,53,60,50,47,67,49,52,60,72,46,54,47,53,33,48,39,34,42,46,44,53,45,57,71,31,45,36,47,33,25,41,48,59,52
9,E09000009,Ealing,36,32,48,36,27,46,33,34,41,33,48,49,37,53,48,51,36,43,34,39,40,41,32,29,37,43,37,28,31,31,25,22,26,39,29,28,24,26,27,20,32,22,21,31,20,20,28,35,29
10,E09000010,Enfield,43,41,50,58,53,46,40,51,32,40,38,45,50,56,46,45,58,46,34,29,33,31,40,31,27,43,28,24,30,26,31,27,24,40,29,29,39,36,29,28,34,34,26,37,23,25,16,29,28
