0,Code,Borough,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013
1,E09000002,Barking and Dagenham,5,8,6,6,1,4,7,7,6,7,3,3,4,4,3,5,0,3,2,7,10,5,7,5,6,8,4,2,6,3,5,2,3,2,3,4,6,5,2,2,3,3,5,5,3,3,0,2,4
2,E09000003,Barnet,1,4,1,0,5,5,3,2,7,6,4,5,5,1,3,3,2,1,2,4,1,4,6,3,6,6,2,3,5,4,2,3,2,3,6,3,1,2,2,2,2,2,4,4,1,2,4,2,5
3,E09000004,Bexley,1,2,2,0,3,0,6,1,0,1,0,2,1,1,3,2,1,1,1,3,0,0,1,1,1,3,2,1,0,0,3,1,0,2,1,1,0,0,1,3,0,0,4,1,2,0,2,1,0
4,E09000005,Brent,5,5,4,6,10,8,6,7,6,5,10,3,4,3,4,3,8,4,5,6,6,6,4,3,6,2,3,7,11,6,7,1,6,7,8,1,5,6,1,10,5,7,7,3,2,9,0,3,9
5,E09000006,Bromley,1,3,0,3,3,1,1,0,5,4,2,3,4,7,3,0,2,1,3,4,4,4,2,1,3,3,3,3,6,1,0,1,4,2,3,1,4,2,4,3,2,3,3,2,2,1,2,1,0
6,E09000007,Camden,6,5,7,3,3,5,3,3,2,4,5,4,4,7,8,3,2,3,3,2,5,5,5,3,10,11,4,2,11,5,4,2,5,0,4,4,6,4,8,1,5,4,4,5,3,5,3,6,5
7,E09000001,City of London,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
8,E09000008,Croydon,7,6,10,9,5,6,5,5,11,6,8,6,5,12,10,4,7,6,5,10,3,5,8,12,7,6,8,6,9,7,4,6,6,7,8,6,9,10,7,8,2,3,2,2,6,3,4,6,5
9,E09000009,Ealing,18,9,7,7,6,7,4,5,9,6,8,11,3,11,6,2,1,5,6,8,7,3,9,4,8,6,12,7,4,2,8,6,4,6,1,3,6,2,8,8,6,4,9,5,9,4,5,3,3
10,E09000010,Enfield,4,10,6,6,5,11,6,3,5,9,9,4,13,7,8,8,10,7,8,9,6,3,7,5,10,10,8,5,4,4,13,8,7,4,3,9,6,3,5,1,2,7,5,2,2,2,3,4,1
11,E09000011,Greenwich,10,4,10,2,2,5,3,4,7,7,8,4,9,5,8,7,5,3,6,6,7,10,6,2,7,7,6,4,4,9,3,2,9,8,5,5,4,2,5,1,5,3,3,4,3,7,4,4,4
12,E09000012,Hackney,7,10,4,12,6,7,4,8,8,7,9,11,8,8,9,9,11,9,2,7,6,14,12,11,6,13,8,6,11,7,7,7,3,4,6,14,6,6,5,4,9,8,5,2,4,8,8,5,8
13,E09000013,Hammersmith and Fulham,4,5,4,3,3,1,7,8,4,6,2,2,5,1,4,2,8,3,4,1,3,7,4,4,4,5,5,4,1,2,2,0,1,3,1,1,3,1,3,1,3,1,2,1,3,0,4,3,2
14,E09000014,Haringey,2,5,6,15,6,9,3,6,13,7,7,7,12,9,6,11,5,9,10,6,11,7,9,15,13,18,8,15,17,7,7,9,7,2,1,9,13,2,7,3,3,3,3,7,5,11,6,11,5
15,E09000015,Harrow,1,2,3,1,3,3,4,2,1,3,4,3,1,2,1,3,2,2,2,3,5,2,0,2,4,2,3,0,5,1,2,3,0,3,3,2,6,2,1,1,1,1,1,2,0,4,2,2,2
16,E09000016,Havering,1,3,5,1,0,3,1,1,0,6,3,1,3,2,2,3,4,2,2,1,4,0,2,5,0,2,2,1,1,2,0,2,2,0,0,0,2,2,1,2,1,1,3,0,1,1,1,1,2
17,E09000017,Hillingdon,4,8,1,0,4,3,3,3,3,1,1,5,5,2,1,1,2,1,2,1,1,2,3,8,1,2,3,7,2,5,4,6,4,4,6,6,5,2,5,0,1,0,1,0,4,3,1,6,2
18,E09000018,Hounslow,4,1,3,1,4,0,1,4,2,7,4,2,4,1,4,1,1,3,1,4,1,2,5,1,3,3,1,5,4,4,3,1,3,3,4,2,3,5,5,4,2,3,3,3,3,8,2,1,1
19,E09000019,Islington,3,8,12,4,7,3,5,4,2,4,7,9,3,5,5,9,6,7,4,9,4,8,5,10,10,8,4,6,5,6,5,6,3,4,9,8,3,1,3,4,3,2,5,4,5,2,1,1,3
20,E09000020,Kensington and Chelsea,6,3,5,2,4,0,5,0,1,0,3,3,3,0,8,0,1,0,3,2,3,2,4,5,2,1,5,4,1,4,1,2,0,3,0,3,2,3,11,4,1,1,0,3,5,4,1,2,4
21,E09000021,Kingston upon Thames,1,1,0,0,0,0,1,1,2,2,2,1,2,0,0,0,1,1,0,1,2,2,2,1,0,1,0,1,0,2,1,1,0,2,2,5,0,3,3,2,2,0,3,1,0,1,0,1,0
22,E09000022,Lambeth,15,9,15,10,12,4,11,9,6,20,13,14,6,12,13,8,11,7,9,11,7,8,15,11,6,13,12,9,15,4,7,9,17,5,4,10,17,8,12,17,7,10,8,9,4,11,10,13,8
23,E09000023,Lewisham,14,11,7,14,7,6,1,6,12,13,9,8,7,7,10,9,8,4,10,8,8,10,14,10,16,9,4,4,7,11,5,11,8,4,5,6,9,3,5,13,8,2,13,2,8,9,5,5,8
24,E09000024,Merton,2,3,1,1,5,5,2,3,0,0,1,4,3,2,3,5,1,0,3,2,0,4,0,7,4,1,2,3,3,1,3,4,3,1,1,1,2,1,1,1,1,4,1,3,3,1,2,2,1
25,E09000025,Newham,7,12,10,4,8,9,13,12,11,15,18,17,10,12,13,11,14,9,4,5,7,13,6,11,8,14,7,13,10,7,8,4,6,9,8,7,9,4,3,7,8,6,7,7,6,9,8,14,6
26,E09000026,Redbridge,6,2,3,7,3,3,5,5,0,5,5,9,9,10,4,10,4,3,3,3,3,3,7,4,3,5,2,6,5,3,3,3,2,3,6,0,2,3,3,3,4,5,2,3,3,2,2,3,6
